game_id,match,time,timestamp,odds_1,odds_x,odds_2,url
7994842,Calgary Flames -  Boston Bruins,07:00,1539826200,2.51,4.20,2.55,https://checkbestodds.com/hockey-odds/nhl/calgary-flames-boston-bruins-2018-10-18/7994842
7994843,Anaheim Ducks -  NY Islanders,07:30,1539828000,2.14,4.20,3.05,https://checkbestodds.com/hockey-odds/nhl/anaheim-ducks-ny-islanders-2018-10-18/7994843
7994844,Columbus Blue Jackets -  Philadelphia Flyers,04:30,1539903600,2.04,4.40,3.25,https://checkbestodds.com/hockey-odds/nhl/columbus-blue-jackets-philadelphia-flyers-2018-10-19/7994844
7994845,Toronto Maple Leafs -  Pittsburgh Penguins,04:30,1539903600,2.11,4.60,2.90,https://checkbestodds.com/hockey-odds/nhl/toronto-maple-leafs-pittsburgh-penguins-2018-10-19/7994845
7994846,New Jersey Devils -  Colorado Avalanche,04:30,1539903600,2.13,4.33,2.96,https://checkbestodds.com/hockey-odds/nhl/new-jersey-devils-colorado-avalanche-2018-10-19/7994846
7994847,Tampa Bay Lightning -  Detroit Red Wings,05:00,1539905400,1.55,5.35,5.30,https://checkbestodds.com/hockey-odds/nhl/tampa-bay-lightning-detroit-red-wings-2018-10-19/7994847
7994848,Winnipeg Jets -  Vancouver Canucks,05:30,1539907200,1.64,5.60,4.85,https://checkbestodds.com/hockey-odds/nhl/winnipeg-jets-vancouver-canucks-2018-10-19/7994848
7994849,Chicago Blackhawks -  Arizona Coyotes,06:00,1539909000,2.03,4.60,3.20,https://checkbestodds.com/hockey-odds/nhl/chicago-blackhawks-arizona-coyotes-2018-10-19/7994849
7994850,Edmonton Oilers -  Boston Bruins,06:30,1539910800,2.67,4.50,2.30,https://checkbestodds.com/hockey-odds/nhl/edmonton-oilers-boston-bruins-2018-10-19/7994850
7994851,Los Angeles Kings -  NY Islanders,08:00,1539916200,2.01,4.20,3.65,https://checkbestodds.com/hockey-odds/nhl/los-angeles-kings-ny-islanders-2018-10-19/7994851
