id,game_id,date,home_team,away_team,home_goals,away_goals,venue,WINNER,time,odds_1,odds_x,odds_y
24,2018020053,2018-10-11,Lightning,Canucks,1,4,Amalie Arena,Canucks,05:00,1.61,5.1,4.85
25,2018020007,2018-10-04,Penguins,Capitals,7,6,PPG Paints Arena,Penguins,04:30,2.05,4.4,3.24
26,2018020051,2018-10-11,Canadiens,Kings,0,3,Centre Bell,Kings,05:00,2.42,4.15,2.61
27,2018020008,2018-10-04,Hurricanes,Islanders,1,2,PNC Arena,Islanders,04:30,2.0,4.4,3.24
28,2018020052,2018-10-11,Red Wings,Maple Leafs,3,5,Little Caesars Arena,Maple Leafs,05:00,3.4,4.4,1.95
29,2018020006,2018-10-04,Rangers,Predators,2,3,Madison Square Garden,Predators,05:00,3.25,4.33,2.03
30,2018020009,2018-10-04,Senators,Blackhawks,3,4,Canadian Tire Centre,Blackhawks,05:00,2.65,4.2,2.41
31,2018020053,2018-10-11,Lightning,Canucks,1,4,Amalie Arena,Canucks,05:00,1.61,5.1,4.85
32,2018020010,2018-10-04,Red Wings,Blue Jackets,2,3,Little Caesars Arena,Blue Jackets,05:00,2.92,4.25,2.17
33,2018020054,2018-10-12,Blues,Flames,5,3,Enterprise Center,Blues,05:30,2.29,4.25,2.8
34,2018020006,2018-10-04,Rangers,Predators,2,3,Madison Square Garden,Predators,05:00,3.25,4.33,2.03
35,2018020055,2018-10-12,Predators,Jets,3,0,Bridgestone Arena,Predators,05:30,2.28,4.2,2.8
36,2018020056,2018-10-12,Wild,Blackhawks,4,3,Xcel Energy Center,Wild,05:30,2.04,4.33,3.2
37,2018020009,2018-10-04,Senators,Blackhawks,3,4,Canadian Tire Centre,Blackhawks,05:00,2.65,4.2,2.41
38,2018020010,2018-10-04,Red Wings,Blue Jackets,2,3,Little Caesars Arena,Blue Jackets,05:00,2.92,4.25,2.17
39,2018020054,2018-10-12,Blues,Flames,5,3,Enterprise Center,Blues,05:30,2.29,4.25,2.8
40,2018020055,2018-10-12,Predators,Jets,3,0,Bridgestone Arena,Predators,05:30,2.28,4.2,2.8
41,2018020011,2018-10-05,Blues,Jets,1,5,Enterprise Center,Jets,05:30,2.55,4.2,2.52
42,2018020011,2018-10-05,Blues,Jets,1,5,Enterprise Center,Jets,05:30,2.55,4.2,2.52
43,2018020012,2018-10-05,Stars,Coyotes,3,0,American Airlines Center,Stars,06:00,1.93,4.35,3.7
44,2018020056,2018-10-12,Wild,Blackhawks,4,3,Xcel Energy Center,Wild,05:30,2.04,4.33,3.2
45,2018020012,2018-10-05,Stars,Coyotes,3,0,American Airlines Center,Stars,06:00,1.93,4.35,3.7
46,2018020057,2018-10-13,Rangers,Oilers,1,2,Madison Square Garden,Oilers,22:30,2.72,4.2,2.4
47,2018020013,2018-10-05,Avalanche,Wild,4,1,Pepsi Center,Avalanche,06:30,2.51,4.2,2.55
48,2018020058,2018-10-13,Flyers,Golden Knights,0,1,Wells Fargo Center,Golden Knights,22:30,2.44,4.2,2.58
49,2018020013,2018-10-05,Avalanche,Wild,4,1,Pepsi Center,Avalanche,06:30,2.51,4.2,2.55
50,2018020057,2018-10-13,Rangers,Oilers,1,2,Madison Square Garden,Oilers,22:30,2.72,4.2,2.4
51,2018020058,2018-10-13,Flyers,Golden Knights,0,1,Wells Fargo Center,Golden Knights,22:30,2.44,4.2,2.58
52,2018020059,2018-10-13,Senators,Kings,5,1,Canadian Tire Centre,Senators,23:30,3.26,4.33,2.1
53,2018020014,2018-10-05,Golden Knights,Flyers,2,5,T-Mobile Arena,Flyers,07:30,1.96,4.4,3.4
54,2018020059,2018-10-13,Senators,Kings,5,1,Canadian Tire Centre,Senators,23:30,3.26,4.33,2.1
55,2018020014,2018-10-05,Golden Knights,Flyers,2,5,T-Mobile Arena,Flyers,07:30,1.96,4.4,3.4
56,2018020015,2018-10-05,Blue Jackets,Hurricanes,1,3,Nationwide Arena,Hurricanes,04:30,2.09,4.2,3.25
57,2018020061,2018-10-13,Bruins,Red Wings,8,2,TD Garden,Bruins,00:30,1.65,4.85,4.5
58,2018020061,2018-10-13,Bruins,Red Wings,8,2,TD Garden,Bruins,00:30,1.65,4.85,4.5
59,2018020015,2018-10-05,Blue Jackets,Hurricanes,1,3,Nationwide Arena,Hurricanes,04:30,2.09,4.2,3.25
60,2018020016,2018-10-06,Kings,Sharks,2,3,STAPLES Center,Sharks,08:00,2.69,4.1,2.38
